iter	MultiClass
0	1.368490004
1	1.194523591
2	1.068095856
3	0.9710777286
4	0.8894005669
5	0.8260542667
6	0.7728217774
7	0.7257221383
8	0.6871963861
9	0.6532106227
10	0.6235341639
11	0.5974605795
12	0.5745155925
13	0.5551194713
14	0.5374904753
15	0.5228625672
16	0.5097843941
17	0.4993220507
18	0.4886589099
19	0.4786221958
20	0.4702915542
21	0.4624112499
22	0.4551764768
23	0.4494130355
24	0.443333937
25	0.4382895762
26	0.433499447
27	0.4297281747
28	0.425450536
29	0.4225222029
30	0.4191532418
31	0.4158672675
32	0.4131819182
33	0.4104252253
34	0.4088195862
35	0.4070005994
36	0.4052977818
37	0.4035251603
38	0.4012922785
39	0.3993900043
40	0.3979962215
41	0.3968953859
42	0.3952635382
43	0.393922036
44	0.3924157231
45	0.3912669516
46	0.39032165
47	0.3893376594
48	0.3885443453
49	0.3877105519
50	0.3869898342
51	0.3860268471
52	0.3852844973
53	0.3845627178
54	0.3837717414
55	0.3829578906
56	0.382215915
57	0.3816499453
58	0.3809533716
59	0.3804190999
60	0.3799898583
61	0.3792621067
62	0.3786086625
63	0.3779452064
64	0.3776039773
65	0.3765381793
66	0.3760643798
67	0.3754775255
68	0.3749636644
69	0.3744734445
70	0.3739980967
71	0.3734174729
72	0.3728956095
73	0.3723193168
74	0.3718227541
75	0.3712503629
76	0.3706067228
77	0.3703482787
78	0.3700697486
79	0.3697036387
80	0.3691760444
81	0.3686691651
82	0.3680854555
83	0.3672872351
84	0.366784361
85	0.3665000242
86	0.3661261641
87	0.3658382085
88	0.3655875729
89	0.3652214605
90	0.3646798312
91	0.3640918877
92	0.3637293771
93	0.36327785
94	0.3628604796
95	0.3625756723
96	0.3621995363
97	0.3619568238
98	0.3617232023
99	0.3614964438
100	0.3610190272
101	0.3607183464
102	0.3603500367
103	0.3601928657
104	0.3599579732
105	0.3596751954
106	0.3593532693
107	0.3591291596
108	0.358509829
109	0.3578205752
110	0.3570375813
111	0.3564337774
112	0.3561349278
113	0.3558570696
114	0.3555450536
115	0.3553582786
116	0.3549728441
117	0.354621065
118	0.3542520628
119	0.3539246991
120	0.35361579
121	0.3532437199
122	0.3525729226
123	0.3519975581
124	0.351527116
125	0.3512667873
126	0.3506596472
127	0.3503552733
128	0.3498076046
129	0.3492403039
130	0.3490328543
131	0.3488299669
132	0.3486430807
133	0.3480699154
134	0.3476060757
135	0.3471387971
136	0.3467320949
137	0.3463762423
138	0.3459096519
139	0.345615286
140	0.3449909927
141	0.344536484
142	0.3443039463
143	0.344035417
144	0.3436502168
145	0.3434956683
146	0.3430516427
147	0.3424866793
148	0.3421939652
149	0.3418393129
150	0.3414356371
151	0.340964838
152	0.3402057718
153	0.3399876954
154	0.3395720783
155	0.3392915026
156	0.3391104259
157	0.3387911395
158	0.3383446749
159	0.3381493947
160	0.3376626465
161	0.3374091176
162	0.3370819523
163	0.3369044891
164	0.3364968496
165	0.3363187311
166	0.3360198326
167	0.3357151377
168	0.3352753233
169	0.3350953376
170	0.3348571547
171	0.3346460673
172	0.3343739194
173	0.3340752282
174	0.333913222
175	0.3337027078
176	0.3335277964
177	0.3332312982
178	0.3329132568
179	0.3327789757
180	0.3326355178
181	0.3322991815
182	0.3322103566
183	0.3318490761
184	0.3315181858
185	0.3310063482
186	0.3307335163
187	0.3302345148
188	0.3298953707
189	0.3295497915
190	0.3291852863
191	0.3290351855
192	0.3286139609
193	0.3281745455
194	0.3278940737
195	0.3276577387
196	0.3273642086
197	0.3272644061
198	0.3270721889
199	0.326776017
200	0.3266839941
201	0.3263825272
202	0.326034743
203	0.3257870956
204	0.325491544
205	0.3252520564
206	0.3249592004
207	0.3247931532
208	0.3245761054
209	0.3243723439
210	0.3242192297
211	0.3239144265
212	0.323627987
213	0.3232632438
214	0.3230066147
215	0.3226275817
216	0.3224194258
217	0.3222049189
218	0.3219869666
219	0.3217748415
220	0.3213096914
221	0.3211729007
222	0.3210391783
223	0.3207540408
224	0.3204366583
225	0.3202896021
226	0.3199542512
227	0.3197956595
228	0.3196918644
229	0.3192887306
230	0.3188912857
231	0.3185996289
232	0.3184105384
233	0.318125979
234	0.3179906883
235	0.3178307485
236	0.3175937422
237	0.3171632852
238	0.3167971031
239	0.3164443301
240	0.3160357168
241	0.315825296
242	0.3152634646
243	0.3149868006
244	0.314844258
245	0.3145404478
246	0.314214023
247	0.3139955111
248	0.313522781
249	0.3130888414
250	0.3129343702
251	0.3127980653
252	0.3126245177
253	0.3124262227
254	0.3121037664
255	0.3120282681
256	0.31173384
257	0.3115529346
258	0.311303114
259	0.3111139342
260	0.3108220839
261	0.3107169638
262	0.3104004187
263	0.310094204
264	0.3099405785
265	0.3097762646
266	0.3096106811
267	0.3094816476
268	0.3091462138
269	0.3089980524
270	0.3086977308
271	0.3083839136
272	0.3081511336
273	0.3078443388
274	0.3076499874
275	0.3073387773
276	0.3071771019
277	0.3067859143
278	0.3064969717
279	0.3063129018
280	0.3061856721
281	0.3060038736
282	0.3057409344
283	0.3055649754
284	0.3051932787
285	0.3048644834
286	0.3046012483
287	0.3044210915
288	0.3043073554
289	0.3039977335
290	0.3037969046
291	0.3035032183
292	0.3033000079
293	0.3028146276
294	0.3026729941
295	0.3024623415
296	0.3022542861
297	0.3017750169
298	0.3015779815
299	0.3012681527
300	0.3010029811
301	0.3003946194
302	0.3001784888
303	0.2998542853
304	0.2997135106
305	0.2994028105
306	0.299086911
307	0.2988709296
308	0.2985245124
309	0.2984331878
310	0.2982605722
311	0.2981381294
312	0.297906308
313	0.2977980659
314	0.2975911911
315	0.2974394531
316	0.2971907313
317	0.2970833151
318	0.296828446
319	0.2966711764
320	0.2963966619
321	0.2961834988
322	0.296068755
323	0.29582444
324	0.295579305
325	0.2953413029
326	0.2950852182
327	0.2949082681
328	0.2947703174
329	0.2944283838
330	0.293958655
331	0.2937878482
332	0.2935342151
333	0.2934443258
334	0.2932301628
335	0.2930978616
336	0.2929041145
337	0.2926301752
338	0.292419477
339	0.2923130148
340	0.2921234729
341	0.2918484514
342	0.2916142638
343	0.2914665188
344	0.2913564876
345	0.2911991537
346	0.2910919284
347	0.2909411197
348	0.290724676
349	0.2905157478
350	0.2904384058
351	0.29030449
352	0.2898438894
353	0.2895366706
354	0.2891643036
355	0.2887159711
356	0.2885008398
357	0.2882835506
358	0.2880949728
359	0.2878923478
360	0.2877606477
361	0.2874990843
362	0.287384077
363	0.2872010374
364	0.2868684025
365	0.2866711595
366	0.2864436899
367	0.2863193551
368	0.2859398317
369	0.2857487065
370	0.2853875994
371	0.2851452602
372	0.2849973352
373	0.2847486959
374	0.2843662087
375	0.2840759054
376	0.2838457939
377	0.2836779228
378	0.283621639
379	0.2833330285
380	0.2832020531
381	0.2830830536
382	0.2830028433
383	0.2829382568
384	0.282467783
385	0.2822300744
386	0.2820506593
387	0.2819432443
388	0.2815933661
389	0.2812287276
390	0.2808876332
391	0.2804174432
392	0.2801959288
393	0.279906932
394	0.2796259325
395	0.2792324205
396	0.2789216362
397	0.2787137146
398	0.2784772257
399	0.2783180054
400	0.2781539792
401	0.2779911953
402	0.2778322896
403	0.2775519239
404	0.2773395244
405	0.277073678
406	0.2769170615
407	0.2766751953
408	0.2765491568
409	0.2762621356
410	0.2760152202
411	0.2758243912
412	0.2755077543
413	0.2752872136
414	0.2750594994
415	0.2748727177
416	0.2747382121
417	0.2746252181
418	0.2744294947
419	0.2740594626
420	0.2739145401
421	0.2737571181
422	0.2734210678
423	0.2732540163
424	0.2728881808
425	0.2727678473
426	0.2724474233
427	0.2723520471
428	0.272269277
429	0.2720030217
430	0.2716903333
431	0.2714175283
432	0.2712334663
433	0.2710461775
434	0.2708094724
435	0.2703896043
436	0.270158812
437	0.2696788809
438	0.2695412504
439	0.2692254668
440	0.269141258
441	0.2688167818
442	0.268479407
443	0.2681489749
444	0.2679048926
445	0.2676822902
446	0.2672768308
447	0.2671271044
448	0.2669847249
449	0.2668081457
450	0.266507536
451	0.266301891
452	0.266202766
453	0.2659680932
454	0.2657008527
455	0.2655764424
456	0.2652326426
457	0.2650321379
458	0.2648141867
459	0.2646077931
460	0.2642406824
461	0.2640266186
462	0.2635584037
463	0.263274991
464	0.2630034098
465	0.2628300071
466	0.2623389518
467	0.2621041887
468	0.2619410714
469	0.2617795862
470	0.2615797961
471	0.2614564086
472	0.2613087089
473	0.2610837833
474	0.2608450121
475	0.2605671489
476	0.2602995069
477	0.2600102285
478	0.2598839501
479	0.2597664689
480	0.259573635
481	0.2593251594
482	0.2589679678
483	0.2588246333
484	0.2583971847
485	0.2582091504
486	0.2580154419
487	0.2578789524
488	0.2576189777
489	0.2574464695
490	0.2573039056
491	0.257140596
492	0.2569823821
493	0.2568194312
494	0.2565571817
495	0.2561711992
496	0.2559665514
497	0.2554883611
498	0.255355044
499	0.2549643795
500	0.2548370469
501	0.2546630758
502	0.2544017196
503	0.2539418817
504	0.2537066881
505	0.2534798119
506	0.2531582187
507	0.2530318177
508	0.2528412839
