iter	Passed	Remaining
0	162	161846
1	176	87960
2	194	64682
3	215	53572
4	225	44961
5	234	38897
6	242	34374
7	249	30888
8	255	28136
9	261	25865
10	266	23992
11	273	22483
12	278	21165
13	284	20068
14	290	19096
15	297	18271
16	299	17327
17	303	16533
18	309	15956
19	315	15450
20	321	14983
21	327	14554
22	333	14182
23	339	13808
24	345	13489
25	352	13203
26	358	12922
27	364	12644
28	370	12396
29	375	12154
30	381	11928
31	387	11709
32	393	11525
33	399	11344
34	404	11166
35	411	11010
36	417	10854
37	423	10708
38	428	10566
39	435	10456
40	441	10321
41	446	10195
42	453	10087
43	459	9978
44	465	9871
45	471	9787
46	477	9687
47	483	9591
48	489	9502
49	495	9416
50	501	9336
51	507	9261
52	514	9186
53	520	9110
54	525	9034
55	531	8964
56	537	8896
57	543	8829
58	549	8763
59	555	8698
60	561	8636
61	567	8582
62	573	8528
63	579	8476
64	585	8422
65	591	8373
66	597	8323
67	603	8271
68	609	8223
69	615	8176
70	621	8131
71	628	8096
72	633	8049
73	639	8004
74	645	7967
75	651	7925
76	657	7885
77	664	7849
78	669	7810
79	676	7774
80	682	7745
81	688	7710
82	694	7675
83	701	7644
84	707	7612
85	713	7580
86	719	7547
87	725	7518
88	731	7489
89	737	7457
90	743	7427
91	749	7399
92	755	7371
93	761	7343
94	767	7315
95	774	7291
96	780	7262
97	785	7234
98	792	7210
99	799	7191
100	804	7163
101	810	7139
102	816	7111
103	822	7088
104	828	7063
105	834	7040
106	840	7014
107	846	6990
108	852	6968
109	858	6946
110	864	6927
111	871	6907
112	876	6882
113	882	6861
114	888	6839
115	894	6816
116	900	6795
117	906	6775
118	912	6754
119	918	6737
120	924	6717
121	931	6702
122	937	6682
123	944	6670
124	950	6654
125	956	6634
126	962	6615
127	968	6595
128	974	6577
129	980	6563
130	986	6543
131	993	6531
132	999	6515
133	1005	6497
134	1011	6481
135	1017	6466
136	1024	6451
137	1030	6434
138	1036	6417
139	1042	6402
140	1048	6386
141	1055	6378
142	1061	6363
143	1067	6348
144	1074	6336
145	1080	6320
146	1086	6303
147	1092	6288
148	1097	6271
149	1103	6254
150	1109	6239
151	1116	6227
152	1122	6216
153	1128	6201
154	1134	6186
155	1140	6172
156	1147	6160
157	1153	6145
158	1159	6130
159	1164	6114
160	1170	6100
161	1176	6086
162	1182	6074
163	1188	6060
164	1194	6046
165	1200	6031
166	1206	6019
167	1212	6005
168	1218	5993
169	1225	5982
170	1230	5967
171	1236	5953
172	1242	5939
173	1248	5927
174	1254	5913
175	1260	5899
176	1266	5887
177	1271	5873
178	1278	5861
179	1284	5849
180	1290	5837
181	1296	5826
182	1301	5812
183	1307	5799
184	1313	5787
185	1319	5776
186	1325	5763
187	1331	5751
188	1337	5738
189	1343	5727
190	1349	5717
191	1355	5705
192	1361	5693
193	1367	5681
194	1373	5670
195	1379	5659
196	1385	5648
197	1391	5637
198	1398	5628
